place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,grid_id,log_reviews,cuisine,brand_name_clean,is_chain,type_restaurant,type_cafe,type_bar,type_meal_takeaway,type_meal_delivery,type_bakery,type_night_club,type_store,expected_rating,hype_residual
ChIJ4ScTwNHhxUcRBvgkc6HD64s,Hotel Cafe Restaurant Abina,"bar,cafe,establishment,food,lodging,point_of_interest,restaurant",4.0,1253.0,,52.3114504,4.8466305,"Amsterdamseweg 193, Amstelveen",OPERATIONAL,"Basic rooms in an unpretentious hotel offering breakfast, plus a bustling restaurant/bar.",http://www.abina.nl/,+31 20 640 1101,american,reviews,en,1.0,5,"{""en"": 5}",0,7.134093721192866,american,,0,1,1,1,0,0,0,0,0,4.313834307793851,-0.3138343077938508
ChIJ4ff2TtLhxUcRrGCS9RU1Jyw,De Jonge Dikkert,"establishment,food,point_of_interest,restaurant",4.5,545.0,3.0,52.3081617,4.847196299999999,"Amsterdamseweg 104a, Amstelveen",OPERATIONAL,"Located in a windmill that was built in 1672, this restaurant serves casual fine dining cuisine.",https://fengbistro.nl/,+31 20 643 3333,unknown,,en,1.0,5,"{""en"": 5}",0,6.302618975744905,unknown,,0,1,0,0,0,0,0,0,0,4.372731890388927,0.12726810961107304
ChIJA5rrudHhxUcRla2cNLkfzlw,Shinsei Sushi,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.7,259.0,,52.3119334,4.8471688,"Amsterdamseweg 194, Amstelveen",OPERATIONAL,,http://www.shinsei-sushi.nl/,+31 20 754 2577,japanese,name,en,1.0,5,"{""en"": 5}",0,5.560681631015528,japanese,,0,1,0,0,1,1,0,0,0,4.374306839746087,0.3256931602539135
ChIJAXXejtHhxUcRKWVNheiyAoE,The Roastary Amstelveen,"establishment,food,meal_delivery,point_of_interest,restaurant,store",3.8,97.0,,52.3103991,4.8470811,"Amsterdamseweg 152, Amstelveen",OPERATIONAL,,http://www.theroastary.com/,+31 20 235 8872,greek,reviews,en,1.0,5,"{""en"": 5}",0,4.584967478670572,greek,,0,1,0,0,0,1,0,0,1,3.935182623711839,-0.13518262371183898
ChIJ9djMI9_hxUcRr-eIOGPLjjc,De Frietfabriek,"establishment,food,point_of_interest,restaurant",4.3,1139.0,,52.3213696,4.8571554,"Nieuwe Kalfjeslaan 1, Amstelveen",OPERATIONAL,,http://www.defrietfabriek.com/,+31 20 823 0066,french,reviews,en,1.0,5,"{""en"": 5}",0,7.038783541388542,french,,0,1,0,0,0,0,0,0,0,4.32404763741749,-0.02404763741748983
ChIJAXXejtHhxUcR573aHs5K8EQ,Delhi Indian,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.2,133.0,,52.310353,4.8470756,"Amsterdamseweg 150, Amstelveen",OPERATIONAL,,http://www.delhiindian.nl/,+31 20 889 4822,indian,name,en,1.0,5,"{""en"": 5}",0,4.897839799950911,indian,,0,1,0,0,1,0,0,0,0,4.001117163264217,0.1988828367357831
ChIJRXV2N9LhxUcR8rx5weuFMXw,Diwali Palace Restaurant,"establishment,food,point_of_interest,restaurant",4.5,890.0,2.0,52.3088264,4.847114899999999,"Amsterdamseweg 114, Amstelveen",OPERATIONAL,,http://www.diwalipalace.nl/,+31 20 364 2247,indian,reviews,en,1.0,5,"{""en"": 5}",0,6.792344427470809,indian,,0,1,0,0,0,0,0,0,0,4.334741146938484,0.16525885306151622
ChIJKR0j3-DhxUcRLofq0wc6soU,Meerzicht Farm,"establishment,food,point_of_interest,restaurant",4.3,3376.0,2.0,52.32640240000001,4.8208628,"Koenenkade 56, Amsterdam",OPERATIONAL,,http://www.boerderijmeerzicht.nl/,+31 20 679 2744,unknown,,en,1.0,5,"{""en"": 5}",0,8.124743020385568,unknown,,0,1,0,0,0,0,0,0,0,4.303773948319169,-0.003773948319168774
ChIJsd9Lk9HhxUcR_hUct0Uk9xI,Toko Madjoe B.V.,"establishment,food,point_of_interest,restaurant",4.5,359.0,2.0,52.3109626,4.8466065,"Amsterdamseweg 183, Amstelveen",OPERATIONAL,,http://www.tokomadjoe.nl/#contact,+31 20 647 6740,european,reviews,en,1.0,5,"{""en"": 5}",0,5.886104031450156,european,,0,1,0,0,0,0,0,0,0,4.374109410814328,0.12589058918567186
ChIJGZzoXNjhxUcRa9KyD6V5w7g,Tele Pizza,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.7,819.0,,52.3169516,4.8572714,"Amsterdamseweg 452, Amstelveen",OPERATIONAL,,https://www.telepizza-amstelveen.nl/,+31 20 643 5287,italian,name,en,1.0,5,"{""en"": 5}",0,6.709304340258298,italian,,0,1,0,0,1,1,0,0,0,4.303950027997093,0.39604997200290715
ChIJEeNJJtLhxUcRyiZ_DM3juk0,AH Amsterdamseweg,"convenience_store,establishment,food,grocery_or_supermarket,laundry,point_of_interest,restaurant,store,supermarket",4.1,743.0,,52.3070962,4.8463557,"Amsterdamseweg 73, Amstelveen",OPERATIONAL,,https://www.ah.nl/winkel/8504,+31 20 647 8559,unknown,,en,1.0,5,"{""en"": 5}",0,6.612041034833092,unknown,,0,1,0,0,0,0,0,0,1,4.389531248859404,-0.2895312488594044
ChIJb3EWi9HhxUcRxRVK457SR1E,Broodje Amstelveen,"establishment,food,point_of_interest,restaurant",3.8,154.0,2.0,52.3102256,4.846482,"Amsterdamseweg 161, Amstelveen",OPERATIONAL,,http://broodjeamstelveen.nl/,+31 20 645 8208,italian,reviews,en,1.0,5,"{""en"": 5}",0,5.043425116919247,italian,,0,1,0,0,0,0,0,0,0,4.256531316661924,-0.45653131666192426
ChIJlcq99djhxUcR7itWlUxsMrc,Grill Bar Rooz Amstelveen,"establishment,food,point_of_interest,restaurant",4.5,493.0,2.0,52.317621,4.857421500000001,"Amsterdamseweg 470, Amstelveen",OPERATIONAL,,http://rooz.nl/,+31 20 643 2443,turkish,reviews,en,1.0,5,"{""en"": 5}",0,6.202535517187923,turkish,,0,1,0,0,0,0,0,0,0,4.310659159417494,0.18934084058250633
ChIJTaHHFd_hxUcRZ6G01oVZwkI,Van Leeuwen Snacks,"establishment,food,point_of_interest,restaurant",4.6,377.0,1.0,52.32165690000001,4.8580881,"Laanhorn 16, Amstelveen",OPERATIONAL,,https://www.vanleeuwensnacks.nl/,+31 20 453 2010,unknown,,en,1.0,5,"{""en"": 5}",0,5.934894195619588,unknown,,0,1,0,0,0,0,0,0,0,4.3975204657216995,0.20247953427830012
ChIJQcTEuPzhxUcRwFo0vplO_Y4,Atchaya,"establishment,food,point_of_interest,restaurant",4.3,487.0,2.0,52.3199804,4.8570661,"Amsterdamseweg 503, Amstelveen",OPERATIONAL,,http://www.atchaya.nl/,+31 20 358 5167,indian,reviews,en,1.0,5,"{""en"": 5}",0,6.1903154058531475,indian,,0,1,0,0,0,0,0,0,0,4.356582557993557,-0.056582557993556826
ChIJPfifFlPhxUcR6jUxYYhNJOM,Santa Maria Pizzeria & Steakhouse,"bar,establishment,food,hair_care,health,point_of_interest,restaurant",4.8,1636.0,2.0,52.3168673,4.857306299999999,"Amsterdamseweg 448, Amstelveen",OPERATIONAL,,http://www.santamaria-amstelveen.nl/,+31 20 889 0944,italian,reviews,en,1.0,5,"{""en"": 5}",0,7.400620577371135,italian,,0,1,0,1,0,0,0,0,0,4.398284770936558,0.40171522906344226
ChIJG0nPuccJxkcRMjUNdrwEW6w,Fietsverhuur Amsterdamse Bos De Boshalte,"cafe,establishment,food,point_of_interest,restaurant,store",4.5,279.0,,52.3280596,4.8563668,"Bosbaanweg 1, Amstelveen",OPERATIONAL,,http://www.deboshalte.com/,+31 20 644 5473,unknown,,en,1.0,5,"{""en"": 5}",0,5.634789603169249,unknown,,0,1,1,0,0,0,0,0,1,4.416193337712281,0.08380666228771894
ChIJoRR7iozjxUcR-1uZBCTmNtU,Kip van het Vuur,"establishment,food,point_of_interest,restaurant",4.6,70.0,,52.3092193,4.8465668,"en, Rembrandtweg 609, Amsterdamseweg 118, Amstelveen",OPERATIONAL,,https://www.kipvanhetvuur.nl/,,unknown,,en,1.0,5,"{""en"": 5}",0,4.2626798770413155,unknown,,0,1,0,0,0,0,0,0,0,4.584856820669815,0.015143179330184608
ChIJMwzZz-bhxUcR4uR3YWqOTyU,De Bosbaan,"establishment,food,point_of_interest,restaurant",4.2,1168.0,2.0,52.32904449999999,4.8540369,"Bosbaan 4, Amstelveen",OPERATIONAL,,http://www.debosbaan.nl/,+31 20 404 4869,unknown,,en,1.0,5,"{""en"": 5}",0,7.063903961472068,unknown,,0,1,0,0,0,0,0,0,0,4.360229722957107,-0.1602297229571068
ChIJE3_Nr3QKxkcRLnivP0eWgZk,La Brochette,"establishment,food,point_of_interest,restaurant",4.4,367.0,2.0,52.3245473,4.8674513,"Ter Kleef 1, Amsterdam",OPERATIONAL,,http://www.la-brochette.nl/,+31 20 642 8185,french,reviews,en,1.0,5,"{""en"": 5}",1,5.908082938168931,french,,0,1,0,0,0,0,0,0,0,4.461841384362737,-0.06184138436273656
ChIJiSQBYuHhxUcRWtD72Sq7gEQ,De Veranda,"establishment,food,point_of_interest,restaurant",4.2,1947.0,2.0,52.3308041,4.8569474,"Amstelveenseweg 764, Amsterdam",OPERATIONAL,,http://www.deveranda.nl/,+31 20 644 5814,chinese,reviews,en,1.0,5,"{""en"": 5}",1,7.5745584842024805,chinese,,0,1,0,0,0,0,0,0,0,4.416805350454051,-0.21680535045405058
ChIJScpanmUKxkcRweieLxLI1Jk,Alexandros,"establishment,food,point_of_interest,restaurant",4.4,1415.0,2.0,52.3131557,4.8754322,"Kostverlorenhof 48-50, Amstelveen",OPERATIONAL,,https://alexandros.nl/,+31 20 647 7888,greek,reviews,en,1.0,5,"{""en"": 5}",1,7.255591274253665,greek,,0,1,0,0,0,0,0,0,0,4.491703951941351,-0.0917039519413505
ChIJP-QqUwkKxkcRJwTdrVGjQrE,New York Pizza,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",3.6,245.0,2.0,52.3309623,4.8682165,"Buitenveldertselaan 44, Amsterdam",OPERATIONAL,"Pies, subs, baked pastas & other Italian faves are served at this standard eat-in & take-out spot.",https://www.newyorkpizza.nl/?store=24&utm_medium=organic&utm_source=GMBlisting,+31 20 404 5555,italian,name,en,1.0,5,"{""en"": 5}",1,5.5053315359323625,italian,,0,1,0,0,1,1,0,0,0,4.259548313473202,-0.6595483134732016
ChIJU_T9IuThxUcRidKypbD_a4s,"Amstelpark Tennisclub | Tennis, Padel & Squash","establishment,food,point_of_interest,restaurant",4.2,344.0,,52.331197,4.853155,"Koenenkade 8, Amsterdam",OPERATIONAL,,http://www.amstelpark.nl/,+31 20 301 0715,unknown,,en,1.0,5,"{""en"": 5}",1,5.84354441703136,unknown,,0,1,0,0,0,0,0,0,0,4.512355633691229,-0.31235563369122854
ChIJgUfMIA0KxkcRgNMTxWvI4ew,Kagetsu III,"establishment,food,point_of_interest,restaurant",4.2,136.0,2.0,52.3260277,4.8708936,"Kastelenstraat 268, Amsterdam",OPERATIONAL,,https://kagetsu3.blogspot.com/,+31 20 337 9383,indian,reviews,en,1.0,5,"{""en"": 5}",1,4.919980925828125,indian,,0,1,0,0,0,0,0,0,0,4.504124327151967,-0.3041243271519667
ChIJGcf0UXMKxkcRn_C2bdc6xbc,Java Kuliner,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.0,125.0,,52.324672,4.8679666,"Buitenveldertselaan 182, Amsterdam",OPERATIONAL,,,+31 20 354 7132,unknown,,en,1.0,5,"{""en"": 5}",1,4.836281906951478,unknown,,0,1,0,0,1,0,0,0,0,4.521516764465751,-0.5215167644657512
ChIJHe2wrwwKxkcRkc0dyyVxYB0,WAGYU KANATA - ZUID,"establishment,food,point_of_interest,restaurant",4.7,806.0,3.0,52.3256525,4.868084,"Buitenveldertselaan 158A, Amsterdam",OPERATIONAL,,https://www.wagyukanata.com/buitenveldert,+31 20 737 2817,japanese,reviews,en,1.0,5,"{""en"": 5}",1,6.693323668269949,japanese,,0,1,0,0,0,0,0,0,0,4.48531949497399,0.21468050502600988
ChIJs98VuG0KxkcRMGG5NJwdlDs,Il Caffè,"cafe,establishment,food,point_of_interest,restaurant",4.3,622.0,1.0,52.3208912,4.875265700000001,"Uilenstede 346, Amstelveen",OPERATIONAL,,http://www.il-caffe.nl/,+31 20 822 6088,unknown,,en,1.0,5,"{""en"": 5}",1,6.434546518787453,unknown,,0,1,1,0,0,0,0,0,0,4.5037932122054265,-0.20379321220542668
ChIJHw70dGUKxkcRuhtVG4qrTO0,Ishii Okonomiyaki,"establishment,food,point_of_interest,restaurant",4.5,770.0,2.0,52.3130142,4.874842399999999,"Kostverlorenhof 58, Amstelveen",OPERATIONAL,,https://www.ishii-japaneserestaurant.com/,+31 20 334 3070,japanese,reviews,en,1.0,5,"{""en"": 5}",1,6.647688373563329,japanese,,0,1,0,0,0,0,0,0,0,4.483445159810162,0.016554840189837883
ChIJt4VSf3AKxkcRMEOjYAbZ-OU,Korean Restaurant NAMU,"establishment,food,point_of_interest,restaurant",4.7,464.0,2.0,52.313118,4.875276599999999,"Kostverlorenhof 54, Amstelveen",OPERATIONAL,,https://www.namu.today/,+31 20 341 5164,korean,name,en,1.0,5,"{""en"": 5}",1,6.142037405587356,korean,,0,1,0,0,0,0,0,0,0,4.505543090878591,0.194456909121409
ChIJOzRIn2UKxkcRsbhJVYQ00A8,Budhrams's Rotishop,"establishment,food,meal_delivery,point_of_interest,restaurant",4.0,162.0,,52.3128981,4.8754563,"Kostverlorenhof 19, Amstelveen",OPERATIONAL,,http://www.rotishopamstelveen.nl/,+31 20 345 5249,unknown,,en,1.0,5,"{""en"": 5}",1,5.093750200806762,unknown,,0,1,0,0,0,1,0,0,0,4.469166156938568,-0.46916615693856834
ChIJAxwQlWUKxkcRKBt1_oHnxNE,Subzero's Gelato Company,"bakery,cafe,establishment,food,point_of_interest,restaurant,store",4.8,161.0,1.0,52.31270439999999,4.8757972,"Kostverlorenhof 101, Amstelveen",OPERATIONAL,,https://www.subzeros.nl/,+31 20 737 1486,european,reviews,en,1.0,5,"{""en"": 5}",1,5.087596335232384,european,,0,1,1,0,0,0,1,0,1,4.679654346145705,0.12034565385429463
ChIJY_SVnmUKxkcRuW4o2JNt-iY,Dolce Verona,"establishment,food,point_of_interest,restaurant",4.3,611.0,2.0,52.3131141,4.8751063,"Kostverlorenhof 55, Amstelveen",OPERATIONAL,,https://www.dolce-verona.nl/?lang=nl,+31 20 345 5177,italian,reviews,en,1.0,5,"{""en"": 5}",1,6.416732282512326,italian,,0,1,0,0,0,0,0,0,0,4.402963354511739,-0.10296335451173899
ChIJwztvdWUKxkcR9Kf9y0jBpAU,Chinees Specialiteiten Restaurant Yu Woah,"establishment,food,point_of_interest,restaurant",3.9,245.0,2.0,52.313052,4.874965899999999,"Kostverlorenhof 56-57, Amstelveen",OPERATIONAL,,https://amstelveenyuwoah.nl/,+31 20 643 3154,chinese,reviews,en,1.0,5,"{""en"": 5}",1,5.5053315359323625,chinese,,0,1,0,0,0,0,0,0,0,4.48613148501445,-0.5861314850144503
ChIJW2W6mWUKxkcRObY9lJ2DnuY,Nagomi Japanese Restaurant,"establishment,food,point_of_interest,restaurant",4.3,99.0,,52.31307779999999,4.8759247,"Kostverlorenhof 67, Amstelveen",OPERATIONAL,,,+31 6 51847388,japanese,name,en,1.0,5,"{""en"": 5}",1,4.605170185988092,japanese,,0,1,0,0,0,0,0,0,0,4.570729080108933,-0.27072908010893304
ChIJy8bummUKxkcR8T5oK4Xqo1U,Thai From Sky,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.2,400.0,2.0,52.3131667,4.875925,"Kostverlorenhof 65, Amstelveen",OPERATIONAL,,http://www.thaifromsky.nl/,+31 20 640 6338,thai,name,en,1.0,5,"{""en"": 5}",1,5.993961427306569,thai,,0,1,0,0,1,1,0,0,0,4.414856882045617,-0.21485688204561715
ChIJe656haULxkcR-ahBIPe_xEM,Mr. SUSHI,"establishment,food,point_of_interest,restaurant",2.5,248.0,,52.3177921,4.8656115,"Bourgondischelaan 3, Amstelveen",OPERATIONAL,,https://www.mrsushi.nl/,+31 20 822 4874,japanese,name,en,1.0,5,"{""en"": 5}",1,5.517452896464707,japanese,,0,1,0,0,0,0,0,0,0,4.474980575725619,-1.9749805757256187
ChIJqycC820KxkcRjKAZvCtglKY,Amstelveen Snacks,"establishment,food,point_of_interest,restaurant",4.0,260.0,,52.3207497,4.8700755,"Uilenstede 102, Amstelveen",OPERATIONAL,,https://www.amstelveen-snacks.nl/,+31 6 24088873,italian,reviews,en,1.0,5,"{""en"": 5}",1,5.564520407322694,italian,,0,1,0,0,0,0,0,0,0,4.272597877799141,-0.27259787779914113
ChIJ2wSbNlYLxkcRxy3NqsF021U,R Haan Thai Thai,"establishment,food,point_of_interest,restaurant",4.9,233.0,,52.31491399999999,4.8637301,"R Haan Thai Thai, Rembrandtweg 687, Amstelveen",OPERATIONAL,,https://www.r-haan-thaithai.nl/,+31 20 823 2824,thai,name,en,1.0,5,"{""en"": 5}",1,5.455321115357702,thai,,0,1,0,0,0,0,0,0,0,4.613610702707139,0.2863892972928612
ChIJ2dOUEO4LxkcRS3XdpHaWQWs,Pakwaan Indian restaurant & street food,"establishment,food,point_of_interest,restaurant",4.8,600.0,2.0,52.3147563,4.8633206,"Rembrandtweg 689, Amstelveen",OPERATIONAL,,https://pakwaan.nl/,+31 20 786 1262,indian,name,en,1.0,5,"{""en"": 5}",1,6.398594934535208,indian,,0,1,0,0,0,0,0,0,0,4.512125363628707,0.28787463637129296
ChIJD7XC7MoLxkcRy00GjaxgYcQ,Food Court Amsterdam City South,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",4.7,50.0,,52.31842959999999,4.8707911,"Professor J.H. Bavincklaan 5, Amstelveen",OPERATIONAL,,https://foodcourtamsterdam.nl/,+31 20 213 5555,italian,reviews,en,1.0,5,"{""en"": 5}",1,3.9318256327243257,italian,,0,1,0,0,0,0,0,0,1,4.545604812228114,0.1543951877718861
ChIJ89SSBTgLxkcR451Us4xdmaY,SABBU,"establishment,food,point_of_interest,restaurant",4.9,52.0,,52.3247751,4.8679092,"Buitenveldertselaan 178, Amsterdam",OPERATIONAL,,,+31 6 34099313,unknown,,en,1.0,5,"{""en"": 5}",1,3.970291913552122,unknown,,0,1,0,0,0,0,0,0,0,4.789423133872576,0.11057686612742401
ChIJl256hzULxkcR3kwpuWC2xjA,Sal Meijer,"establishment,food,point_of_interest,restaurant",4.3,174.0,,52.3184116,4.871516499999999,"Professor J.H. Bavincklaan 5, Amstelveen",OPERATIONAL,,http://www.sal-meijer.com/,+31 20 213 5555,italian,reviews,en,1.0,5,"{""en"": 5}",1,5.1647859739235145,italian,,0,1,0,0,0,0,0,0,0,4.411383427058242,-0.11138342705824211
ChIJi0yCMYwLxkcRnPrqwngiArs,YALA EAT,"establishment,food,point_of_interest,restaurant",4.4,146.0,,52.32475969999999,4.868225499999999,"Buitenveldertselaan 158g, Amsterdam",OPERATIONAL,,https://nlcompanies.org/details/yala-eat-ChIJi0y,+31 6 17426936,turkish,reviews,en,1.0,5,"{""en"": 5}",1,4.990432586778736,turkish,,0,1,0,0,0,0,0,0,0,4.605509868977785,-0.205509868977785
ChIJVzG_8K8LxkcR_fpoUhsR6Mo,Lucia's Zuidas,"bar,establishment,food,night_club,point_of_interest,restaurant",4.0,133.0,,52.3170356,4.8717285,"Professor J.H. Bavincklaan 3, Amstelveen",OPERATIONAL,,https://lucias-restaurant.com/amsterdam-zuidas/,+31 20 308 0600,american,reviews,en,1.0,5,"{""en"": 5}",1,4.897839799950911,american,,0,1,0,1,0,0,0,1,0,4.42067286333198,-0.42067286333197984
ChIJPcEtxHEKxkcRx84qVvhT_uE,Cityden Zuidas,"bar,establishment,food,lodging,point_of_interest,restaurant",4.4,1390.0,,52.3169719,4.8717681,"Professor J.H. Bavincklaan 3, Amstelveen",OPERATIONAL,Streamlined studios in a trendy hotel offering a restaurant/bar with a rooftop terrace.,https://www.cityden.com/amsterdam-zuidas/?utm_source=GBP&utm_medium=organic,+31 20 308 0600,unknown,,en,1.0,5,"{""en"": 5}",1,7.237778191923443,unknown,,0,1,0,1,0,0,0,0,0,4.496883552372783,-0.09688355237278223
ChIJk3Wxaz0JxkcRrcBkCOZreyw,China Supreme,"establishment,food,point_of_interest,restaurant",4.5,462.0,,52.32637810000001,4.8683971,"Buitenveldertselaan 114, Amsterdam",OPERATIONAL,,,+31 6 33447933,chinese,reviews,en,1.0,5,"{""en"": 5}",1,6.137727054086234,chinese,,0,1,0,0,0,0,0,0,0,4.484477018034982,0.015522981965017557
ChIJNab8SKULxkcRLtZfL7I2UWA,lePita,"establishment,food,point_of_interest,restaurant",4.9,250.0,,52.3256969,4.8710743,"Kastelenstraat 265, Amsterdam",OPERATIONAL,,http://www.lepita.nl/lepita/menu2024.jpg,+31 20 786 8609,middle_eastern,reviews,en,1.0,5,"{""en"": 5}",1,5.5254529391317835,middle_eastern,,0,1,0,0,0,0,0,0,0,4.516062941195542,0.3839370588044586
ChIJkfcVgJkLxkcRbk4P15qxgyI,OASIS korean NoReaBang (Karaoke),"establishment,food,point_of_interest,restaurant",5.0,74.0,,52.32097109999999,4.8751057,"Uilenstede 348, Amstelveen",OPERATIONAL,,http://www.oasisoasis.nl/,+31 20 337 5914,korean,name,en,1.0,5,"{""en"": 5}",1,4.31748811353631,korean,,0,1,0,0,0,0,0,0,0,4.702504543265585,0.29749545673441524
ChIJ87jhlG0KxkcROAYGXRmlf68,Porto Pescara 2,"establishment,food,point_of_interest,restaurant",3.8,323.0,1.0,52.3206082,4.8753226,"Uilenstede 318, Amstelveen",OPERATIONAL,,http://www.porto-pescara.nl/,+31 20 260 0749,portuguese,name,en,1.0,5,"{""en"": 5}",1,5.780743515792329,portuguese,,0,1,0,0,0,0,0,0,0,4.472893330458451,-0.672893330458451
ChIJD1N2fSILxkcRxOYdf6hRirY,fumi,"establishment,food,point_of_interest,restaurant",4.6,280.0,,52.3183478,4.8753267,"Professor E.M. Meijerslaan 6, Amstelveen",OPERATIONAL,,http://www.fumi-amstelveen.nl/,+31 20 345 5489,chinese,reviews,en,1.0,5,"{""en"": 5}",1,5.638354669333745,chinese,,0,1,0,0,0,0,0,0,0,4.505254558179598,0.09474544182040123
ChIJIwVgSXkKxkcRbcMUyYDZMWE,Hiro Sushi,"establishment,food,point_of_interest,restaurant",3.9,100.0,2.0,52.30954740000001,4.8636634,"Rembrandtweg 324, Amstelveen",OPERATIONAL,,https://www.hirosushi.nl/,+31 6 15044602,japanese,name,en,1.0,5,"{""en"": 5}",1,4.61512051684126,japanese,,0,1,0,0,0,0,0,0,0,4.570729080108933,-0.670729080108933
ChIJnXni0cMLxkcRU2dV1Xwxp_I,Upper East,"establishment,food,point_of_interest,restaurant",4.8,64.0,,52.3203735,4.8769997,"Laan van Kronenburg 7a, Amstelveen",OPERATIONAL,,https://www.upper-east.nl/,+31 6 28849601,unknown,,en,1.0,5,"{""en"": 5}",1,4.174387269895637,unknown,,0,1,0,0,0,0,0,0,0,4.763658345252741,0.036341654747259255
ChIJC5gNIpELxkcRImUryp-FX84,Salento Latino — Colombian Traditional Food,"establishment,food,point_of_interest,restaurant",4.6,479.0,2.0,52.3260806,4.8747149,"Kastelenstraat 172, Amsterdam",OPERATIONAL,,http://www.salentolatino.nl/,+31 6 21242682,spanish,reviews,en,1.0,5,"{""en"": 5}",1,6.173786103901937,spanish,,0,1,0,0,0,0,0,0,0,4.505543090878591,0.09445690912140847
ChIJgVsPyIAKxkcRyRtCNQqYRbc,Tanuki,"establishment,food,point_of_interest,restaurant",3.9,712.0,2.0,52.3310762,4.876030999999999,"Willem van Weldammelaan 41, Amsterdam",OPERATIONAL,,https://amsterdam.izakayatanuki.com/,+31 20 661 5400,indian,reviews,en,1.0,5,"{""en"": 5}",2,6.569481420414296,indian,,0,1,0,0,0,0,0,0,0,4.338277948685392,-0.43827794868539227
ChIJs0uFFUcKxkcRgK6pLoE5Z78,Klein Kalfje,"cafe,establishment,food,point_of_interest,restaurant",3.7,1012.0,2.0,52.3224194,4.895061099999999,"Amsteldijk Noord 355, Amsterdam",OPERATIONAL,,https://kleinkalfje.nl/,+31 20 823 1844,american,reviews,en,1.0,5,"{""en"": 5}",2,6.920671504248683,american,,0,1,1,0,0,0,0,0,0,4.1400789954784045,-0.44007899547840434
ChIJv-UpMRUKxkcRrLiESsNH1tE,Restaurant Korea,"establishment,food,point_of_interest,restaurant",4.3,852.0,2.0,52.3246312,4.884850699999999,"Van Boshuizenstraat 207-209, Amsterdam",OPERATIONAL,,http://www.restaurant-korea.nl/,+31 20 644 5273,korean,reviews,en,1.0,5,"{""en"": 5}",2,6.748759547491679,korean,,0,1,0,0,0,0,0,0,0,4.371959276295732,-0.07195927629573262
ChIJrQ_GMhUKxkcRP6ROf-TsVCI,Restaurant Khan,"establishment,food,point_of_interest,restaurant",4.6,495.0,2.0,52.3244238,4.8846378,"Nederhoven 9, Amsterdam",OPERATIONAL,,http://www.restaurantkhan.nl/,+31 20 646 3722,korean,reviews,en,1.0,5,"{""en"": 5}",2,6.206575926724928,korean,,0,1,0,0,0,0,0,0,0,4.368219208608803,0.23178079139119667
ChIJfRuTvxMKxkcRUKRdK5C_aSI,Gusto di Casto B.V.,"establishment,food,point_of_interest,restaurant",4.1,716.0,2.0,52.33083329999999,4.878888900000001,"Van Leijenberghlaan 216, Amsterdam",OPERATIONAL,,http://www.gustodicasto.nl/,+31 20 644 8903,italian,reviews,en,1.0,5,"{""en"": 5}",2,6.57507584059962,italian,,0,1,0,0,0,0,0,0,0,4.322079207985956,-0.22207920798595637
ChIJMUJTVzwKxkcR3C-PLbhF_0A,Rosarium Amsterdam,"establishment,food,point_of_interest,restaurant",4.3,275.0,2.0,52.33194599999999,4.891513199999999,"Amstelpark 1, Europaboulevard, Amsterdam",OPERATIONAL,,https://www.rosarium.net/,+31 20 644 4085,unknown,,en,1.0,5,"{""en"": 5}",2,5.62040086571715,unknown,,0,1,0,0,0,0,0,0,0,4.406996122825861,-0.10699612282586113
ChIJwZkH5RYKxkcRGGH2EZnr3l0,Domino's Pizza,"establishment,food,point_of_interest,restaurant",3.7,399.0,2.0,52.3319164,4.8838922,"Arent Janszoon Ernststraat 191, Amsterdam",OPERATIONAL,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,+31 20 240 0699,italian,name,en,1.0,5,"{""en"": 5}",2,5.991464547107982,italian,,0,1,0,0,0,0,0,0,0,4.1989990081601345,-0.4989990081601343
